vf,c44,e15,q15,μ11,ϵ11,α11,ρ,c55e,e15e,q15e,ϵ11e,μ11e,α11e,ρe,c55f,e15f,q15f,ϵ11f,μ11f,α11f,ρf
0.05,47665708776.4155,0.015891104909231,496.3562235447875,0.0001422813709311,9.727373332703483e-11,-4.046667731750246e-12,5320.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.1,48280903813.21825,0.0272979275189659,449.90067729525583,0.0001294095647254,1.0779140563755839e-10,-6.693663643197049e-12,5340.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.15,48939267377.18552,0.0392584246555473,409.48566719079906,0.0001182224231258,1.1889137298558263e-10,-9.065879010759002e-12,5360.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.2,49621496036.08469,0.0524533488352607,372.49708166187094,0.00010799092717,1.3110737259314618e-10,-1.1279715750199463e-11,5380.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.25,50319850964.5734,0.0673510059190347,338.03564645007555,9.84642165977e-05,1.4482129633423132e-10,-1.3374011959535546e-11,5400.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.3,51030129723.098,0.0844267083704104,305.6849279880802,8.95260958604e-05,1.6042988205561492e-10,-1.5365779766324263e-11,5420.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.35,51749600207.53837,0.1042436895665933,275.20898780177987,8.11107312702e-05,1.784085901267709e-10,-1.7263763460283845e-11,5440.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.3999999999999999,52476192281.20667,0.1275189226921315,246.44905232837212,7.31738344411e-05,1.993658871094169e-10,-1.9072922914627183e-11,5460.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.4499999999999999,53208064898.890686,0.1552052458581601,219.2820575594025,6.56810974525e-05,2.2411247236823017e-10,-2.079603750275465e-11,5480.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.4999999999999999,53943284258.96001,0.1886132851458214,193.60262649816468,5.86031621552e-05,2.537648537110583e-10,-2.2434122627504837e-11,5500.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.5499999999999999,54679488278.17609,0.2296078672949253,169.31500257871056,5.19133661805e-05,2.8991263757995357e-10,-2.3986171357219688e-11,5520.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.6,55413426358.05034,0.2809437351916635,146.3294923383327,4.55867469295e-05,3.3490471991300287e-10,-2.5448273792623318e-11,5540.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.65,56140200523.828186,0.3468747573356722,124.5610019390206,3.9599629851e-05,3.923687841411655e-10,-2.6811817461607182e-11,5560.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.7000000000000001,56851843675.39295,0.434339763997784,103.9285333518627,3.39294843388e-05,4.682226202456483e-10,-2.8059901443216916e-11,5580.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.7500000000000001,57534340850.86411,0.5554828099371545,84.35509370129223,2.85548939418e-05,5.728235640360788e-10,-2.915969252918082e-11,5600.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.8000000000000002,58160558284.58199,0.7336657254102382,65.76775950542243,2.34555664425e-05,7.26096442131319e-10,-3.004419682975684e-11,5620.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.8500000000000002,58670461474.62988,1.020315654987343,48.097797635421365,1.86123484e-05,9.719024427589807e-10,-3.0561204447012054e-11,5640.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.9000000000000002,58900410442.783264,1.5551676903859606,31.28090704112303,1.40072267306e-05,1.429418695304874e-09,-3.029075610520298e-11,5660.000000000001,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.9500000000000004,58193377942.738266,2.8984020964538724,15.258385680488855,9.623294475077516e-06,2.5764106619701195e-09,-2.7538807473581663e-11,5680.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,45300000000.0,0,550.0,8.000000000000001e-11,0.000157,0.0,5300
0.05,11368331528.43647,0.7665635224590653,260.31802136886245,6.39902989920039e-06,0.211154199433597,-6.459559626557111e-09,9053.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.1,11671532168.41914,1.263786072383404,229.3722165039483,5.826359389598038e-06,0.1705812518661997,-1.0160238379764105e-08,8877.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.15,12735172517.056004,1.7661280993324309,217.5457972343268,5.715205326512781e-06,0.1486056868352689,-1.3443199230582592e-08,8700.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.2,14162295167.741217,2.3006230288626885,211.5317926456463,5.759389717805506e-06,0.132640682884287,-1.6496107497391165e-08,8524.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.25,15898417039.57716,2.884549646438307,208.18766003200523,5.891067821846045e-06,0.1196437627547948,-1.9383500450342943e-08,8347.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.3,17963761489.322014,3.534982390377874,206.35801872670453,6.089870357181879e-06,0.1084680201402177,-2.2137283933847e-08,8171.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.35,20415231923.343903,4.272244640507699,205.52251001310083,6.352054712740621e-06,0.0985726751863638,-2.477882812981572e-08,7994.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.3999999999999999,23342852883.77095,5.122697685034396,205.425402263608,6.682833756438366e-06,0.089663436520368,-2.7326873819849813e-08,7818.000000000001,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.4499999999999999,26878398777.46224,6.122313267181195,205.946133836155,7.094816556239283e-06,0.0815629401263184,-2.9801411634912917e-08,7641.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.4999999999999999,31214626171.95991,7.322217363350697,207.0500470239072,7.609227318676798e-06,0.074156395879664,-3.2226616275372216e-08,7465.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.5499999999999999,36640693283.210464,8.79812185623776,208.77459328125616,8.259659691243196e-06,0.0673668943064822,-3.4634404422180703e-08,7288.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.6,43608161911.850426,10.66753617972195,211.23987384595617,9.09978377867355e-06,0.0611446357013076,-3.707027661393658e-08,7112.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.65,52861547556.15467,13.123613643376425,214.68955144800375,1.0218984029e-05,0.0554648003547933,-3.960453223801214e-08,6935.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.7000000000000001,65720175565.83742,16.508105682488193,219.5916145575665,1.17763652339e-05,0.0503345374821067,-4.2356358078246555e-08,6759.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.7500000000000001,84764023512.7875,21.4888021739851,226.89212040680957,1.40836673405e-05,0.0458176975227033,-4.5552427582907835e-08,6582.5,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.8000000000000002,115810348575.53888,29.570861930072176,238.7531520350757,1.78443601647e-05,0.0421119431224247,-4.9695827435939924e-08,6406.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.8500000000000002,175309804606.48108,45.01004312538366,261.32074137840306,2.50484150662e-05,0.0398429954601406,-5.61982162819434e-08,6229.499999999999,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.9000000000000002,335085473877.5598,86.3856504761207,321.4858836130094,4.43851198321e-05,0.0418603116328646,-7.120381895834036e-08,6053.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.9500000000000004,2194920994808.208,567.4993825748854,1021.294100468158,0.0002694595886965,0.1148091226632219,-2.3144850383261226e-07,5876.499999999999,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,5990000000.0,0,167.66,0.1504,3.97e-06,0.0,9230
0.05,43600824598.06952,0.0237554893447141,0.000528272616597,0.0010836591752255,1.5503771282250178e-10,8.600324286729139e-10,5225.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.1,44214734186.36395,0.0410101485512857,0.0008489187946492,0.00098328126686,1.715937140302379e-10,7.803576013878783e-10,5250.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.15,44835839930.08069,0.0590803132189071,0.0011359491650589,0.00089522864789,1.8886472459989055e-10,7.104648658637645e-10,5275.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.2,45463811906.43753,0.0789903067378171,0.0014034915254836,0.0008142462488273,2.0771984823725054e-10,6.461830073941753e-10,5300.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.25,46098336742.61812,0.1014387241700956,0.001656079992752,0.000738599761905,2.2875154705338268e-10,5.861352941252848e-10,5325.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.3,46738954764.117966,0.1271292154255157,0.001895596459948,0.0006675130706707,2.525561251721176e-10,5.297054932936893e-10,5350.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.35,47384993726.27711,0.156890480235699,0.0021229229025576,0.0006005528136092,2.798354549747101e-10,4.765493682304663e-10,5375.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.3999999999999999,48035488750.3918,0.1917715755804107,0.002338471178121,0.0005374229195257,3.1147768971167766e-10,4.2643157172617974e-10,5400.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.4499999999999999,48689060553.62162,0.2331588009586661,0.0025423561653058,0.0004778849954822,3.486561768334495e-10,3.7916241910653936e-10,5425.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.4999999999999999,49343721930.426544,0.2829471633327834,0.0027344169380407,0.000421725639958,3.9297451298666776e-10,3.3457188635829734e-10,5450.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.5499999999999999,49996560251.30475,0.3438136648327781,0.002914142712928,0.0003687432231292,4.466977104754814e-10,2.92499024038603e-10,5475.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.6,50643195181.492645,0.4196790703670549,0.0030804988051003,0.0003187431426877,5.131427756782878e-10,2.5278803338396696e-10,5500.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.65,51276803865.09592,0.5165345796565555,0.0032315942851363,0.0002715367526179,5.973779233886878e-10,2.1528713232635458e-10,5525.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.7000000000000001,51886251911.50134,0.6440242621860692,0.0033640388079093,0.0002269417636958,7.075610199960118e-10,1.7984833016475482e-10,5550.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.7500000000000001,52452203060.08081,0.8187368035288756,0.0034716044535888,0.0001847830948964,8.577237759120875e-10,1.46326973366206e-10,5575.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
